Czech name,Code,UN eGov index,Year,EU28
Dánsko,DNK,0.915,2018,1
Austrálie,AUS,0.9053,2018,0
Jižní Korea,KOR,0.901,2018,0
Spojené království,GBR,0.8999,2018,1
Švédsko,SWE,0.8882,2018,1
Finsko,FIN,0.8815,2018,1
Singapur,SGP,0.8812,2018,0
Nový Zéland,NZL,0.8806,2018,0
Francie,FRA,0.879,2018,1
Japonsko,JPN,0.8783,2018,0
Spojené státy americké,USA,0.8769,2018,0
Německo,DEU,0.8765,2018,1
Holandsko,NLD,0.8757,2018,1
Norsko,NOR,0.8557,2018,0
Švýcarsko,CHE,0.852,2018,0
Estonsko,EST,0.8486,2018,1
Španělsko,ESP,0.8415,2018,1
Lucembursko,LUX,0.8334,2018,1
Island,ISL,0.8316,2018,0
Rakousko,AUT,0.8301,2018,1
Spojené arabské emiráty,ARE,0.8295,2018,0
Irsko,IRL,0.8287,2018,1
Kanada,CAN,0.8258,2018,0
Itálie,ITA,0.8209,2018,1
Lichtenštejnsko,LIE,0.8204,2018,0
Bahrain,BHR,0.8116,2018,0
Belgie,BEL,0.808,2018,1
Monaco,MCO,0.805,2018,0
Portugalsko,PRT,0.8031,2018,1
Malta,MLT,0.8011,2018,1
Izrael,ISR,0.7998,2018,0
Rusko,RUS,0.7969,2018,0
Polsko,POL,0.7926,2018,1
Uruguay,URY,0.7858,2018,0
Řecko,GRC,0.7833,2018,1
Kypr,CYP,0.7736,2018,1
Slovinsko,SVN,0.7714,2018,1
Bělorusko,BLR,0.7641,2018,0
Kazachstán,KAZ,0.7597,2018,0
Litva,LTU,0.7534,2018,1
Kuvajt,KWT,0.7388,2018,0
Chile,CHL,0.735,2018,0
Argentina,ARG,0.7335,2018,0
Brazílie,BRA,0.7327,2018,0
Maďarsko,HUN,0.7265,2018,1
Barbados,BRB,0.7229,2018,0
Bulharsko,BGR,0.7177,2018,1
Malajsie,MYS,0.7174,2018,0
Srbsko,SRB,0.7155,2018,0
Slovensko,SVK,0.7155,2018,1
Katar,QAT,0.7132,2018,0
Saudská arábie,SAU,0.7119,2018,0
Turecko,TUR,0.7112,2018,0
Česká republika,CZE,0.7084,2018,1
Chorvatsko,HRV,0.7018,2018,1
Kostarika,CRI,0.7004,2018,0
Lotyšsko,LVA,0.6996,2018,1
Černá Hora,MNE,0.6966,2018,0
Brunej,BRN,0.6923,2018,0
Gruzie,GEO,0.6893,2018,0
Kolumbie,COL,0.6871,2018,0
Andorra,AND,0.6857,2018,0
Omán,OMN,0.6846,2018,0
Mexiko,MEX,0.6818,2018,0
Čína,CHN,0.6811,2018,0
Mauricius,MUS,0.6678,2018,0
Rumunsko,ROU,0.6671,2018,1
Jihoafrická republika,ZAF,0.6618,2018,0
Moldavsko,MDA,0.659,2018,0
Ázerbajdžán,AZE,0.6574,2018,0
Svatý Kryštof a Nevis,KNA,0.6554,2018,0
Bahamské ostrovy,BHS,0.6552,2018,0
Thajsko,THA,0.6543,2018,0
Albánie,ALB,0.6519,2018,0
Filipíny,PHL,0.6512,2018,0
San Marino,SMR,0.6471,2018,0
Peru,PER,0.6461,2018,0
Trinidad a Tobago,TTO,0.644,2018,0
Makedonie,MKD,0.6312,2018,0
Tunisko,TUN,0.6254,2018,0
Uzbekistán,UZB,0.6207,2018,0
Ukrajina,UKR,0.6165,2018,0
Seychely,SYC,0.6163,2018,0
Ekvádor,ECU,0.6129,2018,0
Panama,PAN,0.6092,2018,0
Írán,IRN,0.6083,2018,0
Arménie,ARM,0.5944,2018,0
Vietnam,VNM,0.5931,2018,0
Grenada,GRD,0.593,2018,0
Antigua a Barbuda,ATG,0.5906,2018,0
Kyrgyzstán,KGZ,0.5835,2018,0
Mongolsko,MNG,0.5824,2018,0
Dominika,DMA,0.5794,2018,0
Srí Lanka,LKA,0.5751,2018,0
Dominikánská republika,DOM,0.5726,2018,0
Indie,IND,0.5669,2018,0
Maledivy,MDV,0.5615,2018,0
Jordán,JOR,0.5575,2018,0
Libanon,LBN,0.553,2018,0
El Salvador,SLV,0.5469,2018,0
Ghana,GHA,0.539,2018,0
Fiji,FJI,0.5348,2018,0
Bolívie,BOL,0.5307,2018,0
Svatý Vincenc a Grenadiny,VCT,0.5306,2018,0
Bosna a Hercegovina,BIH,0.5303,2018,0
Venezuela,VEN,0.5287,2018,0
Indonésie,IDN,0.5258,2018,0
Paraguay,PRY,0.5255,2018,0
Tonga,TON,0.5237,2018,0
Maroko,MAR,0.5214,2018,0
Palau,PLW,0.5024,2018,0
Kapverdy,CPV,0.498,2018,0
Guatemala,GTM,0.4974,2018,0
Egypt,EGY,0.488,2018,0
Bangladéš,BGD,0.4862,2018,0
Surinam,SUR,0.4773,2018,0
Nepál,NPL,0.4748,2018,0
Jamaica,JAM,0.4697,2018,0
Svatá Lucie,LCA,0.466,2018,0
Rwanda,RWA,0.459,2018,0
Namibie,NAM,0.4554,2018,0
Keňa,KEN,0.4541,2018,0
Honduras,HND,0.4474,2018,0
Guyana,GUY,0.4316,2018,0
Gabon,GAB,0.4313,2018,0
Bhútán,BTN,0.4274,2018,0
Botswana,BWA,0.4253,2018,0
Samoa,WSM,0.4236,2018,0
Nikaragua,NIC,0.4233,2018,0
Alžírsko,DZA,0.4227,2018,0
Tádžikistán,TJK,0.422,2018,0
Belize,BLZ,0.4115,2018,0
Zambie,ZMB,0.4111,2018,0
Kuba,CUB,0.4101,2018,0
Uganda,UGA,0.4055,2018,0
Kamerun,CMR,0.3997,2018,0
Vanuatu,VUT,0.399,2018,0
Togo,TGO,0.3989,2018,0
Tanzanie,TZA,0.3929,2018,0
Libye,LBY,0.3833,2018,0
Eswatini,SWZ,0.382,2018,0
Timor-Leste,TLS,0.3816,2018,0
Nigérie,NGA,0.3807,2018,0
Tuvalu,TUV,0.3779,2018,0
Kambodža,KHM,0.3753,2018,0
Zimbabwe,ZWE,0.3692,2018,0
Turkmenistán,TKM,0.3652,2018,0
Pákistán,PAK,0.3566,2018,0
Marshallovy ostrovy,MHL,0.3543,2018,0
Senegal,SEN,0.3486,2018,0
Etiopie,ETH,0.3463,2018,0
Sýrie,SYR,0.3459,2018,0
Kiribati,KIR,0.345,2018,0
Svatý Tomáš a Princův ostrov,STP,0.3424,2018,0
Angola,AGO,0.3376,2018,0
Irák,IRQ,0.3376,2018,0
Myanmar,MMR,0.3328,2018,0
Nauru,NRU,0.3324,2018,0
Benin,BEN,0.3264,2018,0
Mosambik,MOZ,0.3195,2018,0
Mikronésie,FSM,0.3155,2018,0
Laos,LAO,0.3056,2018,0
Haiti,HTI,0.3047,2018,0
Kongo,COG,0.3024,2018,0
Burkina,BFA,0.3016,2018,0
Burundi,BDI,0.2985,2018,0
Lesotho,LSO,0.2968,2018,0
Gambie,GMB,0.2958,2018,0
Šalamounovy ostrovy,SLB,0.2816,2018,0
Madagaskar,MDG,0.2792,2018,0
Papua-Nová Guinea,PNG,0.2787,2018,0
Pobřeží slonoviny,CIV,0.2776,2018,0
Libérie,LBR,0.2737,2018,0
Sierra Leone,SLE,0.2717,2018,0
Malawi,MWI,0.2708,2018,0
Demokratická republika Kongo,COD,0.2612,2018,0
Afghánistán,AFG,0.2585,2018,0
Mali,MLI,0.2424,2018,0
Džibutsko,DJI,0.2401,2018,0
Sudan,SDN,0.2394,2018,0
Guinea,GIN,0.2348,2018,0
Komory,COM,0.2336,2018,0
Mauritánie,MRT,0.2314,2018,0
